Rk,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ALL NBA
1,Precious Achiuwa,PF,21,MIA,61,4,737,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4,13.5,19.5,0.3,1,1.3,0.085,-3.6,-0.5,-4.1,-0.4,0
2,Jaylen Adams,PG,24,MIL,7,0,18,-6.5,0.125,0.25,0,0,16.9,8.8,12.7,0,0,0,18.6,-0.1,0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1,0
3,Steven Adams,C,27,NOP,58,58,1605,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.3,1.7,4,0.119,-0.4,0.1,-0.3,0.7,0
4,Bam Adebayo,C,23,MIA,64,64,2143,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15,23.7,5.6,3.2,8.8,0.197,2.9,2,4.9,3.7,0
5,LaMarcus Aldridge,C,35,TOT,26,23,674,15.7,0.556,0.27,0.159,3,15.8,9.4,11,0.8,3.7,7.9,22.2,0.5,0.6,1.1,0.08,-0.2,-0.2,-0.3,0.3,0
5,LaMarcus Aldridge,C,35,SAS,21,18,544,15.1,0.545,0.302,0.149,3.3,15.4,9.2,10.2,0.7,2.8,7,22.7,0.3,0.5,0.8,0.067,-0.2,-0.7,-0.9,0.2,0
5,LaMarcus Aldridge,C,35,BRK,5,5,130,18.2,0.611,0.104,0.208,1.8,17.8,10.2,14.3,1.1,7.4,11.8,19.9,0.2,0.2,0.4,0.135,0.1,2.1,2.2,0.1,0
6,Ty-Shon Alexander,SG,22,PHO,15,0,47,4.2,0.349,0.75,0.167,4.9,19,12.1,15.4,0,1.9,18.9,15,-0.1,0,0,-0.048,-4.8,-1.7,-6.5,-0.1,0
7,Nickeil Alexander-Walker,SG,22,NOP,46,13,1007,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1,0.7,0.035,-1.4,0.1,-1.3,0.2,0
8,Grayson Allen,SG,25,MEM,50,38,1259,12.8,0.586,0.662,0.22,1.6,12,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,0.101,-0.2,0.1,-0.2,0.6,0
9,Jarrett Allen,C,22,TOT,63,45,1864,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4,0
9,Jarrett Allen,C,22,BRK,12,5,320,21.5,0.73,0,0.938,13.8,28.6,21.6,8.3,1.1,5.2,19.3,15.5,1,0.5,1.4,0.216,1.7,0.9,2.6,0.4,0
9,Jarrett Allen,C,22,CLE,51,40,1544,19.8,0.649,0.046,0.549,11.2,25.9,18.3,8.8,0.8,4.1,13.1,16.8,3.4,1.6,5,0.155,1.2,-0.4,0.8,1.1,0
10,Al-Farouq Aminu,PF,30,TOT,23,14,434,8.9,0.469,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,-0.4,0.5,0.1,0.01,-4.9,1.1,-3.8,-0.2,0
10,Al-Farouq Aminu,PF,30,ORL,17,14,367,9.9,0.482,0.348,0.191,5.5,20.8,12.9,11.3,2.3,2.2,20.6,14.3,-0.3,0.4,0.1,0.014,-4.4,1.3,-3.1,-0.1,0
10,Al-Farouq Aminu,PF,30,CHI,6,0,67,3,0.369,0.6,0.5,3.3,27.8,15.7,3.5,1.4,0,19.7,9.8,-0.1,0.1,0,-0.013,-7.5,0.2,-7.3,-0.1,0
11,Kyle Anderson,PF,27,MEM,69,69,1887,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5,0
12,Giannis Antetokounmpo,PF,26,MIL,61,61,2013,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9,5.6,1
